Link,Title
https://www.fool.com/investing/2020/09/09/3-stocks-poised-for-huge-growth-over-next-decade/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,3 Stocks Poised for Huge Growth Over the Next Decade
https://www.fool.com/investing/2020/09/09/got-2000-3-tech-stocks-to-buy-during-a-correction/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,"Got $2,000? 3 Tech Stocks to Buy During a Correction"
https://finance.yahoo.com/news/pinterest-participate-deutsche-bank-virtual-213000309.html,Pinterest to Participate in the Deutsche Bank Virtual Technology Conference
https://techcrunch.com/2020/09/07/human-capital-workers-are-upset-and-amazon-and-apple-are-on-the-defensive/,"Human Capital: Workers are upset about labor practices, and Amazon and Apple are on the defensive"
https://finance.yahoo.com/news/pinterest-pins-stock-outpacing-computer-153003884.html,Is Pinterest (PINS) Stock Outpacing Its Computer and Technology Peers This Year?
https://www.fool.com/investing/2020/09/04/3-of-the-best-stocks-to-buy-right-now-with-50/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,3 of the Best Stocks to Buy Right Now With $50
https://finance.yahoo.com/news/pinterest-plans-election-related-content-071023859.html,Pinterest Plans To Make Election-Related Content Ad Free
https://www.thestreet.com/investing/pinterest-removes-ads-for-election-related-content-in-run-up-to-elections?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,Pinterest Won't Show Ads Next To Election-Related Content
https://finance.yahoo.com/news/hedge-fund-interest-pinterest-inc-042857348.html,"Hedge Fund Interest In Pinterest, Inc. (PINS) Is Skyrocketing"
https://finance.yahoo.com/news/missed-zoom-boom-still-ways-210829593.html,Missed the Zoom Boom? It Still Has a Ways to Go
https://finance.yahoo.com/news/why-pinterest-pins-40-3-153003479.html,Why Is Pinterest (PINS) Up 40.3% Since Last Earnings Report?
https://finance.yahoo.com/news/pinterest-hit-89-5m-cancelled-120013702.html,Pinterest Hit With $89.5M Cancelled Lease Fee; Stock Up 90% YTD
https://finance.yahoo.com/news/pinterest-nixes-big-san-francisco-221633155.html,Pinterest Nixes Big San Francisco Lease Deal in Covid Scaleback
https://finance.yahoo.com/news/pinterest-announces-termination-future-lease-210000911.html,Pinterest Announces Termination of Future Lease Contract
https://www.thestreet.com/investing/stocks/urban-outfitters-nio-pinterest-latest-upgrades-and-downgrades?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,"Urban Outfitters, Nio, Pinterest - Latest Upgrades and Downgrades"
https://www.fool.com/investing/2020/08/28/got-100-3-smart-stocks-to-invest-in-right-now/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Got $100? 3 Smart Stocks to Invest in Right Now
https://www.barrons.com/articles/social-media-stocks-have-thrived-they-are-not-all-equal-one-analyst-says-51598309051?siteid=yhoof2&yptr=yahoo,"Social Media Stocks Have Thrived in the Pandemic. They Are Not All Equal, One Analyst Says"
https://www.thestreet.com/investing/pinterest-shares-drop-after-citi-downgrade-price-target-up?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,Pinterest Shares Drop After Citi Downgrade - Price Target Up
https://www.fool.com/investing/2020/08/23/got-3000-to-invest-these-3-digital-media-stocks-co/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,"Got $3,000 to Invest? These 3 Digital Media Stocks Could Make You Rich"
https://www.fool.com/investing/2020/08/23/where-to-invest-5000-right-now/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,"Where to Invest $5,000 Right Now?"
https://techcrunch.com/2020/08/21/human-capital-whats-next-in-uber-and-lyfts-court-battle-and-a-look-at-board-diversity-in-silicon-valley/,Human Capital: What's next in Uber and Lyft's court battle and a look at board diversity in Silicon Valley
https://finance.yahoo.com/news/greenwood-investors-betting-twitter-twtr-163633210.html,GreenWood Investors is Betting on Twitter (TWTR) Stock
https://finance.yahoo.com/news/pinterest-pins-outpaced-other-computer-153003843.html,Has Pinterest (PINS) Outpaced Other Computer and Technology Stocks This Year?
https://www.fool.com/investing/2020/08/21/got-1000-here-are-2-stocks-to-consider/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,"Got $1,000? Here are 2 Stocks to Consider"
https://finance.yahoo.com/news/pinterest-ex-coo-prepared-gender-001953508.html,Pinterest Ex-COO Is Prepared to Take Gender Case to Trial
https://finance.yahoo.com/video/former-pinterest-coo-says-culture-222757148.html,Former Pinterest COO Says Culture There Is 'Toxic'
https://finance.yahoo.com/news/pinterest-alert-bragar-eagel-squire-200000271.html,"PINTEREST ALERT: Bragar Eagel & Squire, P.C. is Investigating Pinterest, Inc. on Behalf of Long-Term Stockholders and Encourages Investors to Contact the Firm"
https://www.fool.com/investing/2020/08/19/3-great-reasons-to-buy-pinterest-stock/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,3 Great Reasons to Buy Pinterest Stock
https://www.investors.com/market-trend/stock-market-today/dow-jones-flat-sp500-hits-all-time-highamazon-gives-new-buy-signal/?src=A00220&yptr=yahoo,"Dow Jones Flat, But S&P 500 Hits All-Time High; FANG Stock Gives New Buy Signal"
https://www.fool.com/investing/2020/08/18/4-stocks-billionaires-couldnt-stop-buying-in-q2/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,4 Stocks Billionaires Couldn't Stop Buying in Q2
https://techcrunch.com/2020/08/17/epic-games-escalates-battle-with-apple/,Daily Crunch: Epic Games escalates legal battle with Apple
https://finance.yahoo.com/news/pinterest-appoints-former-harpo-studios-210700749.html,Pinterest Appoints Former Harpo Studios Executive Andrea Wishom to Board of Directors
https://finance.yahoo.com/news/pinterest-adds-board-member-employees-200257085.html,Pinterest Adds Board Member as Employees Claim Discrimination
https://techcrunch.com/2020/08/17/pinterest-announces-first-black-board-member/,Pinterest announces first Black board member
https://www.fool.com/investing/2020/08/15/3-great-stocks-that-could-make-you-a-millionaire/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,3 Great Stocks That Could Make You a Millionaire
https://finance.yahoo.com/news/pinterest-announce-board-member-day-035124170.html,Pinterest Delays New Board Member as Workers Protest
https://techcrunch.com/2020/08/14/human-capital-a-timeline-of-uber-and-lyfts-fight-against-ab-5-and-pinterests-fall-from-grace/,Human Capital: A timeline of Uber and Lyft’s fight against AB 5 and Pinterest’s fall from grace
https://techcrunch.com/2020/08/14/pinterest-employees-are-walking-out-today-in-light-of-discrimination-allegations/,Pinterest employees are walking out today in light of discrimination allegations
https://www.fool.com/investing/2020/08/14/7-top-stocks-to-play-3-hot-trends-in-2021/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,7 Top Stocks to Play 3 Hot Trends in 2021
https://finance.yahoo.com/news/pinterest-inc-pins-chairman-president-041502649.html,"Pinterest Inc (PINS) Chairman, President, CEO, Co-F Benjamin Silbermann Sold $8.7 million of Shares"
https://finance.yahoo.com/news/investor-alert-scott-scott-attorneys-193000771.html,"INVESTOR ALERT: Scott+Scott Attorneys at Law LLP Investigates Pinterest, Inc.'s Directors and Officers for Breach of Fiduciary Duties - PINS"
https://www.marketwatch.com/story/former-coo-sues-pinterest-for-gender-discrimination-describes-culture-of-misogyny-11597289569?siteid=yhoof2&yptr=yahoo,"Former COO sues Pinterest for gender discrimination, describes culture of ‘misogyny’"
https://www.fool.com/investing/2020/08/12/pinterest-ex-coo-sues-the-company-for-gender-discr/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Pinterest Ex-COO Sues the Company for Gender Discrimination
https://finance.yahoo.com/news/pinterest-sued-former-coo-allegations-082533721.html,Pinterest Sued By Former COO On Allegations Of Gender Discrimination
https://techcrunch.com/2020/08/11/former-coo-sues-pinterest-accusing-it-of-gender-discrimination-retaliation-and-wrongful-termination/,"Former COO sues Pinterest, accusing it of gender discrimination, retaliation and wrongful termination"
https://finance.yahoo.com/news/pinterest-detect-more-skin-tones-212140734.html,Pinterest Can Detect More Skin Tones Now
https://finance.yahoo.com/news/top-stock-picks-week-august-175905400.html,"Top Stock Picks for Week of August 10, 2020"
https://www.investopedia.com/traders-look-to-the-ipo-market-for-their-next-idea-5074430?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral&yptr=yahoo,Traders Look to the IPO Market for Their Next Idea
https://finance.yahoo.com/news/pinterest-announces-videos-updates-inspire-000000548.html,Pinterest Announces Videos Updates to Inspire Audiences in India to take Action on Ideas
https://www.fool.com/investing/2020/08/10/why-pinterest-stock-made-gains-today.aspx?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why Pinterest Stock Made Gains Today
